ALTER TABLE
UPDATE 529
 source | target | edge |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          the_geom                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
    288 |    289 |  439 | 0102000020E610000006000000957F2DAFDC3452401355AEA6A11C334000A6B162DD3452401B2AC6F99B1C334011DD58F5DE3452404E226706961C3340CE829A6BE2345240B4AB90F2931C334037E2C96EE634524065726A67981C33405925A2A9E83452405D7578639C1C3340
    289 |    290 |  440 | 0102000020E6100000030000005925A2A9E83452405D7578639C1C33405FFC7E7BE834524072ED5575A01C3340133AF93EE63452403DDDD49BAC1C3340
    290 |    286 |  436 | 0102000020E610000004000000133AF93EE63452403DDDD49BAC1C3340C08355ABE53452400B4DC8BDAF1C334086014BAEE234524010B45DFCC81C33403AE004F0E03452407222B028DB1C3340
    286 |    284 |  433 | 0102000020E6100000060000003AE004F0E03452407222B028DB1C33402802E66BE034524016F3188AE01C33404CF26D0BE03452402CC71AE4E41C33407CEF6FD0DE345240A95615D0FA1C33404769801CDE345240C2903067111D334029DDA7F4DD34524053D6CADF181D3340
    286 |    287 |  437 | 0102000020E6100000020000003AE004F0E03452407222B028DB1C334095CA259FE83452405C1A6437D81C3340
    290 |    291 |  441 | 0102000020E610000006000000133AF93EE63452403DDDD49BAC1C3340D5963AC8EB34524057F20C75B31C3340DFF0CC15EF345240E1FE6D60BC1C334013FBBAC2F13452407F3A79ECC21C334046A0B07AF63452402F015361C71C33406396E24FF9345240FF34FFF9C71C3340
    329 |    336 |  504 | 0102000020E61000000300000095B6B8C6E7345240485D2162391C3340C50C439AE7345240BEF49B2E301C334037F9D280E63452401BC28C84111C3340
    336 |    208 |  334 | 0102000020E61000000300000037F9D280E63452401BC28C84111C3340C0102851E53452406D495865F01B33405BD5ED47E5345240CF21BAB1EA1B3340
    208 |    139 |  225 | 0102000020E6100000020000005BD5ED47E5345240CF21BAB1EA1B3340FF7AE0BEE934524030EEAB17E81B3340
    208 |    300 |  454 | 0102000020E6100000030000005BD5ED47E5345240CF21BAB1EA1B334026074724E53452407BB5487FD41B33404F6FEB13E53452400434B67CC91B3340
