 seq | path_seq | end_vid | node  | edge  |       cost        |     agg_cost     
-----+----------+---------+-------+-------+-------------------+------------------
   1 |        1 |    3363 |  1175 |   655 |  14.0691994519106 |                0
   2 |        2 |    3363 |  5426 |  3102 |  37.5772245055517 | 14.0691994519106
   3 |        3 |    3363 |   704 |  5672 |  119.757946583162 | 51.6464239574623
   4 |        4 |    3363 |  9891 | 11161 |  41.2665230964865 | 171.404370540624
   5 |        5 |    3363 |  6821 |  1568 |  34.9304246861786 | 212.670893637111
   6 |        6 |    3363 |  2704 | 14046 |  34.9008346326341 |  247.60131832329
   7 |        7 |    3363 | 11689 | 14185 |  5.88464583354494 | 282.502152955924
   8 |        8 |    3363 | 11942 | 16993 |  16.6636537586299 | 288.386798789469
   9 |        9 |    3363 | 13644 | 16991 |  22.0377026921662 | 305.050452548099
  10 |       10 |    3363 |  5785 |   907 |  9.70648606181937 | 327.088155240265
  11 |       11 |    3363 |  1579 | 15278 |  27.5106740693765 | 336.794641302084
  12 |       12 |    3363 |  4409 | 15828 |  12.2881306812767 | 364.305315371461
  13 |       13 |    3363 |  7716 | 18640 |   59.492786004788 | 376.593446052737
  14 |       14 |    3363 | 13011 | 16749 |   58.946746928213 | 436.086232057525
  15 |       15 |    3363 | 10705 | 15040 |  96.0453364736868 | 495.032978985738
  16 |       16 |    3363 |  3010 | 13275 |  29.7127936167181 | 591.078315459425
  17 |       17 |    3363 | 10374 | 11271 |  15.6409924928636 | 620.791109076143
  18 |       18 |    3363 |  6979 | 11270 |  24.9248426951356 | 636.432101569007
  19 |       19 |    3363 |  4793 |  9961 |  6.60567095627368 | 661.356944264142
  20 |       20 |    3363 |  5942 |  3395 |  10.3119005578213 | 667.962615220416
  21 |       21 |    3363 |  7838 |  4471 |  25.0976195391102 | 678.274515778237
  22 |       22 |    3363 | 10626 |  6079 |  6.63241352887179 | 703.372135317347
  23 |       23 |    3363 |   493 |  7474 |  7.40085394841068 | 710.004548846219
  24 |       24 |    3363 |  8083 | 11951 |  16.6783932682864 |  717.40540279463
  25 |       25 |    3363 |  9857 |  5644 |  28.4443046585111 | 734.083796062916
  26 |       26 |    3363 |  1503 |   859 |  23.4613845883299 | 762.528100721427
  27 |       27 |    3363 |   749 |  7608 |  19.7982426315508 | 785.989485309757
  28 |       28 |    3363 |  4653 |  2662 |  30.4543985398024 | 805.787727941308
  29 |       29 |    3363 |  3406 |  9173 |  12.1430382667896 |  836.24212648111
  30 |       30 |    3363 |  1547 |   889 |  31.4174597640993 |   848.3851647479
  31 |       31 |    3363 | 12311 | 14390 |  31.0430976497287 | 879.802624511999
  32 |       32 |    3363 | 11170 | 13741 |  39.8348160677424 | 910.845722161728
  33 |       33 |    3363 |  9484 | 12775 |  45.0503582567246 |  950.68053822947
  34 |       34 |    3363 | 11256 |  6440 |  22.6747174758926 | 995.730896486195
  35 |       35 |    3363 |  5593 |  3188 |  36.2329045943809 | 1018.40561396209
  36 |       36 |    3363 | 11363 | 13845 |  16.0865855021378 | 1054.63851855647
  37 |       37 |    3363 | 10544 |  6038 |  10.0607596086225 | 1070.72510405861
  38 |       38 |    3363 |  1840 |  8260 |  28.2595547068311 | 1080.78586366723
  39 |       39 |    3363 |  8235 | 12042 |  24.8133724352031 | 1109.04541837406
