 seq | path_seq | node  | edge  |       cost        |     agg_cost     
-----+----------+-------+-------+-------------------+------------------
   1 |        1 |  3363 |  2111 |  3.54307250974477 |                0
   2 |        2 |  3724 |   804 | 0.602870207206562 | 3.54307250974477
   3 |        3 |  1434 |  1292 | 0.353660058570321 | 4.14594271695134
   4 |        4 |  2255 | 12042 |  2.32253165993501 | 4.49960277552166
   5 |        5 |  8235 |  8260 |  2.64509432055939 | 6.82213443545666
   6 |        6 |  1840 |  6038 |  0.94168709936707 | 9.46722875601605
   7 |        7 | 10544 | 13845 |   1.5057044030001 | 10.4089158553831
   8 |        8 | 11363 |  3188 |  3.39139987003405 | 11.9146202583832
   9 |        9 |  5593 |  6440 |  2.12235355574355 | 15.3060201284173
  10 |       10 | 11256 | 12775 |  4.21671353282943 | 17.4283736841608
  11 |       11 |  9484 | 13741 |  3.72853878394069 | 21.6450872169902
  12 |       12 | 11170 | 14390 |  2.90563394001461 | 25.3736260009309
  13 |       13 | 12311 |   889 |  2.94067423391969 | 28.2792599409455
  14 |       14 |  1547 |  9173 |  1.13658838177151 | 31.2199341748652
  15 |       15 |  3406 |  2662 |   2.8505317033255 | 32.3565225566367
  16 |       16 |  4653 |  7608 |  1.85311551031315 | 35.2070542599622
  17 |       17 |   749 |   859 |  2.19598559746768 | 37.0601697702754
  18 |       18 |  1503 |  5644 |  2.66238691603664 | 39.2561553677431
  19 |       19 |  9857 | 11951 |  1.56109760991161 | 41.9185422837797
  20 |       20 |  8083 |  7474 |  0.69271992957124 | 43.4796398936913
  21 |       21 |   493 |  6079 | 0.620793906302399 | 44.1723598232626
  22 |       22 | 10626 |  4471 |  2.34913718886071 | 44.7931537295649
  23 |       23 |  7838 |  3395 | 0.965193892212071 | 47.1422909184257
  24 |       24 |  5942 |  9961 | 0.618290801507216 | 48.1074848106377
  25 |       25 |  4793 | 11270 |  2.33296527626469 | 48.7257756121449
  26 |       26 |  6979 | 11271 |  1.46399689733203 | 51.0587408884096
  27 |       27 | 10374 | 13275 |  2.78111748252481 | 52.5227377857417
  28 |       28 |  3010 | 15040 |  8.98984349393708 | 55.3038552682665
  29 |       29 | 10705 | 16749 |  5.51741551248074 | 64.2936987622036
  30 |       30 | 13011 | 18640 |  5.56852477004815 | 69.8111142746843
  31 |       31 |  7716 | 15828 |   1.1501690317675 | 75.3796390447325
  32 |       32 |  4409 | 15278 |  2.57499909289364 |    76.5298080765
  33 |       33 |  1579 |   907 | 0.908527095386293 | 79.1048071693936
  34 |       34 |  5785 | 16991 |  2.06272897198676 | 80.0133342647799
  35 |       35 | 13644 | 16993 |  1.55971799180776 | 82.0760632367666
  36 |       36 | 11942 | 14185 |  2.75401425009903 | 83.6357812285744
  37 |       37 | 11689 | 14046 |  16.3335906080728 | 86.3897954786734
  38 |       38 |  2704 |  1568 |  16.3474387531316 | 102.723386086746
  39 |       39 |  6821 | 11161 |  19.3127328091557 | 119.070824839878
  40 |       40 |  9891 |  5672 |  56.0467190009199 | 138.383557649033
  41 |       41 |   704 |  3102 |  17.5861410685982 | 194.430276649953
  42 |       42 |  5426 |   655 |  1.31687706869884 | 212.016417718552
  43 |       43 |  1175 |    -1 |                 0 |  213.33329478725
(43 rows)

