 seq | path_seq | node  | edge  |        cost         |     agg_cost     
  75 |       75 | 10294 | 18757 |   0.495270745419416 | 22.4881011142708
  76 |       76 |  4697 | 18788 |   0.635004451061804 | 22.9833718596902
  77 |       77 |  7826 | 18308 |   0.108235846879132 |  23.618376310752
  78 |       78 | 13257 | 18307 |  0.0920968079054278 | 23.7266121576311
  79 |       79 | 13205 | 18306 |  0.0333126239689007 | 23.8187089655366
  80 |       80 |  8016 | 18305 |  0.0708599261079426 | 23.8520215895055
  81 |       81 | 16045 | 18790 |   0.377884594503012 | 23.9228815156134
  82 |       82 | 15391 | 18791 |   0.668980879911976 | 24.3007661101164
  83 |       83 |  5214 |  6710 |   0.696312890073718 | 24.9697469900284
  84 |       84 |  4540 |  6711 |    2.32109078453195 | 25.6660598801021
  85 |       85 |  9224 |    -1 |                   0 | 27.9871506646341
(85 rows)

