 seq | path_seq | node  | edge  |       cost        |     agg_cost     
-----+----------+-------+-------+-------------------+------------------
   1 |        1 |  3363 |  2111 |  3.54307250974477 |                0
   2 |        2 |  3724 |   804 | 0.602870207206562 | 3.54307250974477
   3 |        3 |  1434 |   805 |  1.64046384776456 | 4.14594271695134
   4 |        4 |  3944 |  9492 |  6.12005829699534 |  5.7864065647159
   5 |        5 | 11511 | 13932 |  12.8270920764597 | 11.9064648617112
   6 |        6 |  9299 | 10023 |  3.37967692682466 |  24.733556938171
   7 |        7 |  4917 | 15351 | 0.183767777180777 | 28.1132338649956
   8 |        8 |  9044 | 12529 |  0.72737943153981 | 28.2970016421764
   9 |        9 |  3962 | 15211 | 0.286520832858161 | 29.0243810737162
  10 |       10 |  7161 | 15737 | 0.343625970820764 | 29.3109019065744
  11 |       11 |  6702 | 11100 |  1.99728951082404 | 29.6545278773951
  12 |       12 |  7572 |  4001 |  3.25250989887446 | 31.6518173882192
  13 |       13 |  7024 | 13917 | 0.470577723048482 | 34.9043272870936
  14 |       14 | 11487 |  1638 |  1.22672328517158 | 35.3749050101421
  15 |       15 |  2848 |  3521 |  2.35493524372283 | 36.6016282953137
  16 |       16 |  6175 |  7336 | 0.382759752180137 | 38.9565635390365
  17 |       17 |   258 |  9217 |  5.72639049881928 | 39.3393232912167
  18 |       18 |  3477 | 15130 |   6.4053283579546 | 45.0657137900359
  19 |       19 |  9640 | 16131 | 0.659568387937376 | 51.4710421479905
  20 |       20 |  9203 | 12610 |  1.09783108693388 | 52.1306105359279
  21 |       21 |  2874 |  8849 |  6.05285470000057 | 53.2284416228618
  22 |       22 |  1432 | 17286 |  15.6329128635657 | 59.2812963228624
  23 |       23 | 14441 |    -1 |                 0 | 74.9142091864281
(23 rows)

